ollama-1  | 2026-09-07T12:18:18.565176545Z Couldn't find '/root/.ollama/id_ed25519'. Generating new private key.
ollama-1  | 2026-09-07T12:18:18.566687753Z Your new public key is: 
ollama-1  | 2026-09-07T12:18:18.566701420Z 
ollama-1  | 2026-09-07T12:18:18.566703212Z ssh-ed25519 AAAAC3NzaC1lZDI1NTE5AAAAIMuIpvg9hx+bYvFJVHll2MlO4uRVIgLHS6BmV3U2EbEa
ollama-1  | 2026-09-07T12:18:18.566704170Z 
ollama-1  | 2026-09-07T12:18:18.574229712Z time=2026-09-07T12:18:18.572Z level=INFO source=routes.go:1961 msg="server config" env="map[CUDA_VISIBLE_DEVICES: GGML_VK_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: LLAMA_ARG_FIT: LLAMA_ARG_FIT_TARGET: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_DEBUG_LOG_REQUESTS:false OLLAMA_EDITOR: OLLAMA_FLASH_ATTENTION:false OLLAMA_GO_TEMPLATE:true OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://0.0.0.0:11434 OLLAMA_IGPU_ENABLE: OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MAX_TRANSFER_STREAMS:4 OLLAMA_MODELS:/root/.ollama/models OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NO_CLOUD:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false OLLAMA_VULKAN:true ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
ollama-1  | 2026-09-07T12:18:18.574245128Z time=2026-09-07T12:18:18.574Z level=INFO source=routes.go:1963 msg="Ollama cloud disabled: false"
ollama-1  | 2026-09-07T12:18:18.574703087Z time=2026-09-07T12:18:18.574Z level=INFO source=images.go:883 msg="total blobs: 0"
ollama-1  | 2026-09-07T12:18:18.574706378Z time=2026-09-07T12:18:18.574Z level=INFO source=images.go:890 msg="total unused blobs removed: 0"
ollama-1  | 2026-09-07T12:18:18.574906045Z time=2026-09-07T12:18:18.574Z level=INFO source=routes.go:2023 msg="Listening on [::]:11434 (version 0.31.1)"
ollama-1  | 2026-09-07T12:18:18.575975795Z time=2026-09-07T12:18:18.575Z level=INFO source=model_list_cache.go:111 msg="model list cache hydration complete" models=0 failures=0 elapsed=816.917µs
ollama-1  | 2026-09-07T12:18:18.590674378Z time=2026-09-07T12:18:18.590Z level=INFO source=runner.go:60 msg="discovering available GPUs..."
ollama-1  | 2026-09-07T12:18:18.751859087Z time=2026-09-07T12:18:18.751Z level=INFO source=types.go:50 msg="inference compute" id=cpu library=cpu compute="" name=cpu description=cpu libdirs=ollama driver="" pci_id="" type="" total="9.7 GiB" available="9.6 GiB"
ollama-1  | 2026-09-07T12:18:18.751879254Z time=2026-09-07T12:18:18.751Z level=INFO source=routes.go:2073 msg="vram-based default context" total_vram="0 B" default_num_ctx=4096
ollama-1  | 2026-09-07T12:18:19.053070420Z time=2026-09-07T12:18:19.053Z level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h19m29.85362233s consecutive_failures=0
ollama-1  | 2026-09-07T12:18:28.438398383Z [GIN] 2026/09/07 - 12:18:28 | 200 |     145.291µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:18:28.439815008Z [GIN] 2026/09/07 - 12:18:28 | 200 |     484.417µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:18:29.079051133Z [GIN] 2026/09/07 - 12:18:29 | 200 |      75.083µs |      172.18.0.5 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:18:30.222671551Z time=2026-09-07T12:18:30.222Z level=INFO source=download.go:179 msg="downloading 633fc5be925f in 16 136 MB part(s)"
ollama-1  | 2026-09-07T12:18:38.588224305Z [GIN] 2026/09/07 - 12:18:38 | 200 |     123.417µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:18:38.588583346Z [GIN] 2026/09/07 - 12:18:38 | 200 |      237.75µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:18:48.772322545Z [GIN] 2026/09/07 - 12:18:48 | 200 |     115.708µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:18:48.773281212Z [GIN] 2026/09/07 - 12:18:48 | 200 |     739.834µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:18:58.936219842Z [GIN] 2026/09/07 - 12:18:58 | 200 |     167.875µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:18:58.939036675Z [GIN] 2026/09/07 - 12:18:58 | 200 |     345.667µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:19:09.587546055Z [GIN] 2026/09/07 - 12:19:09 | 200 |     158.666µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:19:09.588487513Z [GIN] 2026/09/07 - 12:19:09 | 200 |      275.75µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:19:19.669017421Z [GIN] 2026/09/07 - 12:19:19 | 200 |      88.709µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:19:19.669467296Z [GIN] 2026/09/07 - 12:19:19 | 200 |     181.416µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:19:29.777514134Z [GIN] 2026/09/07 - 12:19:29 | 200 |      25.792µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:19:29.779458050Z [GIN] 2026/09/07 - 12:19:29 | 200 |      78.292µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:19:39.942716305Z [GIN] 2026/09/07 - 12:19:39 | 200 |     119.541µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:19:39.943121680Z [GIN] 2026/09/07 - 12:19:39 | 200 |     329.333µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:19:50.062892796Z [GIN] 2026/09/07 - 12:19:50 | 200 |      67.167µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:19:50.063388796Z [GIN] 2026/09/07 - 12:19:50 | 200 |     138.334µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:20:00.259568467Z [GIN] 2026/09/07 - 12:20:00 | 200 |      16.458µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:20:00.259684551Z [GIN] 2026/09/07 - 12:20:00 | 200 |       57.75µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:20:10.314675222Z [GIN] 2026/09/07 - 12:20:10 | 200 |      89.042µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:20:10.315003139Z [GIN] 2026/09/07 - 12:20:10 | 200 |     151.959µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:20:20.436921713Z [GIN] 2026/09/07 - 12:20:20 | 200 |      24.625µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:20:20.437968546Z [GIN] 2026/09/07 - 12:20:20 | 200 |     178.833µs |       127.0.0.1 | GET      "/api/tags"
