question_id,question,answerable,label_status,evidence_id,reference_label,retrieved_rank,source_id,source_version,source_url,title,section,article_type,year,population_or_model,passage_index,start_in_passage,end_in_passage,content,reviewed_relevance,reviewer,reason,missing_other_evidence
Q01,Was the Italian-center study prospective or retrospective?,True,ASSISTANT_AUTHORED_PROVISIONAL,PMC8039127:b4a7750cb1b5b1d0:19:0:605,True,2.0,PMC8039127,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,METHODS,primary study,2021,unknown,19,0,605,"Data of 22 patients affected by CCHS has been collected retrospectively. Enrolled patients were referred to the Pediatric Pulmonology and Respiratory Intermediate Care Unit of Bambino Gesù Children's Hospital (Rome, Italy) for a multidisciplinary follow-up program between 2000 and 2020. Our Respiratory Unit is a reference center for children affected with acute or chronic respiratory failure due to neurologic or neuromuscular impairment and by congenital or acquired lung diseases. Our hospital is the reference point for the Italian pediatric population, especially from central and southern regions.",PENDING,,,
Q01,Was the Italian-center study prospective or retrospective?,True,ASSISTANT_AUTHORED_PROVISIONAL,PMC8039127:b4a7750cb1b5b1d0:54:0:218,False,1.0,PMC8039127,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,DISCUSS,primary study,2021,unknown,54,0,218,"The study describes the clinical and genetic findings of patients with CCHS, whose management—updated over time—allowed for the development of a well-defined follow-up program in the largest Italian pediatric hospital.",PENDING,,,
Q01,Was the Italian-center study prospective or retrospective?,True,ASSISTANT_AUTHORED_PROVISIONAL,PMC8039127:b4a7750cb1b5b1d0:68:0:274,False,3.0,PMC8039127,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,DISCUSS,primary study,2021,unknown,68,0,274,"Our study has some limitations as the retrospective design, the poor sample, and the heterogeneity of the described population composed of patients of different ages and who had experienced different primary care settings regarding the diagnosis and the ventilation support.",PENDING,,,
Q01,Was the Italian-center study prospective or retrospective?,True,ASSISTANT_AUTHORED_PROVISIONAL,PMC8039127:b4a7750cb1b5b1d0:2:0:273,False,4.0,PMC8039127,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,ABSTRACT,primary study,2021,unknown,2,0,273,"Methods: A retrospective analysis has been conducted on 22 patients with CCHS, who were referred to the Pediatric Pulmonology and Respiratory Intermediate Care Unit of Bambino Gesù Children's Hospital (Italy) for a multidisciplinary follow-up program between 2000 and 2020.",PENDING,,,
Q01,Was the Italian-center study prospective or retrospective?,True,ASSISTANT_AUTHORED_PROVISIONAL,PMC8039127:b4a7750cb1b5b1d0:17:0:261,False,5.0,PMC8039127,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,INTRO,primary study,2021,unknown,17,0,261,The aims of our study are: (1) to describe the genotypes and the clinical findings of patients affected with CCHS followed by a third level of care in a pediatric hospital and (2) to highlight the changing strategy in the management of these patients over time.,PENDING,,,
Q02,What recruitment period does the Italian-center paper describe?,True,ASSISTANT_AUTHORED_PROVISIONAL,PMC8039127:b4a7750cb1b5b1d0:19:0:605,True,1.0,PMC8039127,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,METHODS,primary study,2021,unknown,19,0,605,"Data of 22 patients affected by CCHS has been collected retrospectively. Enrolled patients were referred to the Pediatric Pulmonology and Respiratory Intermediate Care Unit of Bambino Gesù Children's Hospital (Rome, Italy) for a multidisciplinary follow-up program between 2000 and 2020. Our Respiratory Unit is a reference center for children affected with acute or chronic respiratory failure due to neurologic or neuromuscular impairment and by congenital or acquired lung diseases. Our hospital is the reference point for the Italian pediatric population, especially from central and southern regions.",PENDING,,,
Q02,What recruitment period does the Italian-center paper describe?,True,ASSISTANT_AUTHORED_PROVISIONAL,PMC8039127:b4a7750cb1b5b1d0:2:0:273,True,,PMC8039127,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,ABSTRACT,primary study,2021,unknown,2,0,273,"Methods: A retrospective analysis has been conducted on 22 patients with CCHS, who were referred to the Pediatric Pulmonology and Respiratory Intermediate Care Unit of Bambino Gesù Children's Hospital (Italy) for a multidisciplinary follow-up program between 2000 and 2020.",PENDING,,,
Q02,What recruitment period does the Italian-center paper describe?,True,ASSISTANT_AUTHORED_PROVISIONAL,PMC8039127:b4a7750cb1b5b1d0:54:0:218,False,2.0,PMC8039127,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,DISCUSS,primary study,2021,unknown,54,0,218,"The study describes the clinical and genetic findings of patients with CCHS, whose management—updated over time—allowed for the development of a well-defined follow-up program in the largest Italian pediatric hospital.",PENDING,,,
Q02,What recruitment period does the Italian-center paper describe?,True,ASSISTANT_AUTHORED_PROVISIONAL,PMC8039127:b4a7750cb1b5b1d0:21:0:192,False,3.0,PMC8039127,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,METHODS,primary study,2021,unknown,21,0,192,"Demographic data, medical histories, and results of the diagnostic testing were obtained from the review of the electronic medical record with the approval from the Institutional Review Board.",PENDING,,,
Q02,What recruitment period does the Italian-center paper describe?,True,ASSISTANT_AUTHORED_PROVISIONAL,PMC8039127:b4a7750cb1b5b1d0:17:0:261,False,4.0,PMC8039127,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,INTRO,primary study,2021,unknown,17,0,261,The aims of our study are: (1) to describe the genotypes and the clinical findings of patients affected with CCHS followed by a third level of care in a pediatric hospital and (2) to highlight the changing strategy in the management of these patients over time.,PENDING,,,
